yt_shortcode,tempo,centroid_max,centroid_min,centroid_mean,centroid_std,centroid_kurtosis,centroid_skew,roloff_max,roloff_min,roloff_mean,roloff_std,roloff_kurtosis,roloff_skew,zcr_max,zcr_min,zcr_mean,zcr_std,zcr_kurtosis,zcr_skew,rmse_max,rmse_min,rmse_mean,rmse_std,rmse_kurtosis,rmse_skew,flux_max,flux_min,flux_mean,flux_std,flux_kurtosis,flux_skew,contrast_max,contrast_min,contrast_mean,contrast_std,contrast_kurtosis,contrast_skew,bandwidth_max,bandwidth_min,bandwidth_mean,bandwidth_std,bandwidth_kurtosis,bandwidth_skew,flatness_max,flatness_min,flatness_mean,flatness_std,flatness_kurtosis,flatness_skew,chroma_stft_max,chroma_stft_min,chroma_stft_mean,chroma_stft_std,chroma_stft_kurtosis,chroma_stft_skew,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,label
qy5N_fVhVFg,112.34714673913044,5978.286791210207,156.6159086475386,1023.3976212765224,834.5668811045339,3.5091230287366084,1.5806065252434474,9216.2109375,129.19921875,2223.603220842202,2333.3460144101723,-0.08358581150195699,1.0380723225363218,0.3330078125,0.00390625,0.026262879740712074,0.030317991040828468,24.123028203976588,3.821753515324082,0.25023016333580017,0.008428458124399185,0.10158204287290573,0.02623544260859489,4.6668593073919675,1.2254981994628906,23.658078721273426,0.0,1.3759555948738185,2.378813445761472,19.543473444172964,3.950026860482132,55.01499984368446,6.511858730733046,20.3330952827212,6.054422283276467,0.0858545129312982,0.755748106213332,3756.6656683061415,517.8145749545478,1706.6023604972966,824.6305915551159,-0.8812387615841124,0.5114355540649268,0.14811161160469055,1.9835365492326677e-06,0.0029121255502104764,0.009709900245070456,88.44788930427046,7.977522373199463,1.0,0.0012007802025118814,0.3806978610884749,0.3266934238509838,-0.981804939265882,0.6489723688007609,-287.8035252986702,117.25506742439494,35.081676619124735,50.071465898842106,29.456738570014306,19.86472658369773,9.694214085251128,12.966549708337887,7.534561596674309,8.03945984562664,3.5760618429482856,7.159578997346839,-1.1107608328159135,0.3828083309515237,0.4320332566728583,-0.3585100494189875,-4.856508975123993,1.3499070838947294,-1.5906526780962025,0.4169217675462248,blues
rrp7sQdGcXw,123.046875,6308.064593025607,484.4296022426957,1519.3121498027972,685.3124241287578,5.854394582963356,1.7082839377969714,9474.609375,753.662109375,2933.965592044795,1589.7268134937613,2.5304831249772333,1.39855401623339,0.55078125,0.0068359375,0.06355819465944272,0.04452073852054341,19.032189564176644,2.8633284173946194,0.4310033023357392,0.0047820163890719405,0.16208310425281525,0.07442551851272583,0.2488086669994405,0.2450415641069412,16.78037160855227,0.0,1.3997128418883356,1.7664526891946566,14.824823683986022,3.3243856980931947,50.94563496934638,5.7333229637518075,21.7354780561316,6.1112130699361975,0.2365316607790815,0.7136974873140495,4021.123896908751,928.3353466269008,1888.8433702453426,509.2201885182585,1.2182579371407831,0.7957484351808852,0.21143625676631927,6.0338541516102844e-05,0.0071824975311756125,0.01855309493839741,43.79819875235236,6.03440523147583,1.0,0.0004083522714496628,0.3309426917682241,0.3036071818322648,-0.1621956612230071,0.9897999667945894,-138.66508686016522,126.20464101867998,-12.003655123330276,18.856611985921273,5.282061858003682,8.318804855883466,6.162056336663107,9.43584248140964,0.5706118778891667,2.9697211006542568,-7.825124048258287,1.361617888120333,-3.87650004123612,-0.16704716859493626,-6.2028712306835745,-2.5998358789138343,-6.5509998850424145,0.8174641317922298,-4.134194100029311,1.4963285692883046,blues
1N1k_KHW7gQ,172.265625,2924.732966415333,293.05186422455245,809.4455447922023,396.2430371015828,1.7498010011631149,1.364292909395222,6610.693359375,322.998046875,1412.0081284466912,826.9601719008949,4.243560848375622,1.6469109904175605,0.1416015625,0.005859375,0.04832245912345201,0.026271701366401317,0.7078609829556073,1.1739799179617352,0.3567356467247009,0.05169595405459404,0.15461209416389465,0.04189785942435265,0.5219818133598255,0.4420146644115448,11.729269256364221,0.0,1.0910523491537223,1.3136538539921256,17.492726397050813,3.550349825679298,74.45456948433694,6.332050811007187,22.98067569591367,5.302303591016679,1.2295706147196706,0.4102928093139776,2965.2721311892287,512.8487640403607,969.3801877363452,375.8582187931512,2.4123076887579447,1.5030888380223075,0.026710303500294685,5.6579983720439495e-06,0.000521293841302395,0.0015583429485559466,125.8647407790488,9.364002227783203,1.0,0.0010548609640805607,0.2852333512702355,0.29675100964875845,0.6417970864148179,1.3270952098686584,-205.85878235839897,197.9247886362011,-10.582594123441687,19.07386370971261,12.12346324677858,-5.508640820485091,-1.5050224768123373,0.1325682419568323,-10.23662038372921,-2.402547892207192,-3.5343490779245634,-7.282816994548861,-2.380777582129999,-4.242767134594849,-7.1125773908364405,-1.9965867235537258,-7.217513370753252,-2.726198945656175,-0.12297755518883312,0.5519875938894452,blues
-f8R2fDcrco,89.10290948275862,6300.793708726006,384.75384070130593,1315.6667060129225,668.0579868262392,10.406336715874149,2.3068973887912048,9108.544921875,387.59765625,2779.016529000581,1547.0780508068115,1.7217753272064382,1.0389819678374137,0.5751953125,0.0048828125,0.04784173640673375,0.04670259142528041,34.59853642288507,4.475278409965474,0.3552135825157165,0.024817541241645813,0.1658114194869995,0.052824750542640686,0.3697200591742935,0.012485111132264136,13.845606490583215,0.0,1.32149378849762,1.33190614052781,15.702858659243715,3.3383256912465358,56.49864051252108,7.489419426886642,22.93306560271721,6.208106158890566,-0.02834629472227812,0.6032794022176916,3525.9359636151994,853.9742915697066,1868.0925314279975,500.6393281235343,0.1371434534908822,0.46032499276784,0.12347307801246644,1.7125212252722122e-05,0.003493818687275052,0.01031509879976511,69.98186216361975,7.602566242218018,1.0,0.0009200446736032977,0.34388669614164297,0.30762079959623595,-0.37998003540006803,0.9128952525630014,-170.54914709411136,122.95827878915578,7.048893724456388,43.897806086150354,2.9084798768071685,17.414579205791714,12.053428822228911,10.801096726719154,5.40374840423433,6.987145600302188,-2.2468408096261983,5.453412517300396,1.3153155753752497,11.830097744194946,8.63411049855863,2.256459832184217,-1.624231532761062,1.4862858835376802,-8.640344132489373,1.874993610369576,blues
_twhjdkFbik,151.9990808823529,6269.326087245396,483.9905768326117,1475.7411319784785,797.7450923936274,9.793367626250637,2.6164695134804763,9689.94140625,839.794921875,3002.9818413796443,1539.2484254690992,4.905415561036532,2.053453209686127,0.5751953125,0.0126953125,0.07511519204721362,0.05911807822661635,22.642562138819393,3.7368400392715286,0.3354507088661194,0.04644092544913292,0.15113700926303866,0.0629684254527092,-0.2711149629545431,0.8028654456138611,13.501956215669773,0.0,1.4197301786559502,1.7853450848657968,10.392582864313288,2.919615348034766,50.553610280077855,6.049237499348974,22.989120880822625,6.45052055337774,-0.24935930402645126,0.4852595606850776,3854.944462529857,771.7317625768228,1640.4059902616684,553.645669020859,1.818253520996228,1.327429514449398,0.21947427093982694,1.5487208656850268e-05,0.0062169223092496395,0.021025814116001133,37.908246668287994,5.854520797729492,1.0,0.0011304142930573056,0.31658385485673274,0.3013538072476004,0.05354973013281983,1.096346940318617,-145.79050689771938,133.4966729690695,-28.15375712692121,43.137795846138886,10.233740158646636,7.248979188418753,1.5525733224577,7.782495053242713,0.7426453740032333,-0.7628796800716486,-3.0535628116444933,-6.423150172703009,-11.546024926247735,-8.933521539187328,-9.441638203754334,-1.4577885652216849,0.4315372504385174,-6.162899304369048,-6.743326919503933,-1.2983198480306488,blues
s2KTsKOXDhE,123.046875,4753.564963775949,201.89352478425425,1103.2798736996976,677.5046118371738,1.4113870317956811,1.0587180305895905,8591.748046875,150.732421875,2256.853019785217,1742.8628657416575,1.059729214907895,1.107673900801553,0.2294921875,0.005859375,0.044542436629256964,0.03698645416026828,1.3986778820999737,1.178863316059695,0.4573308527469635,0.04530717059969902,0.1942131519317627,0.055402424186468124,1.422394905458325,0.69910728931427,17.185800590429267,0.0,1.1691907561531925,1.531886313086982,35.83190174125217,5.1342238494805805,65.30853988817142,5.149652692314535,22.431574892060155,5.987841619634271,0.08435388436830449,0.4586883765288404,3587.036017029697,729.8818240836897,1574.5944078532818,612.0051108416968,0.2975717830187916,0.9560671438286316,0.09126393496990204,4.949163212586426e-06,0.0028453378472477198,0.0076718153432011596,51.27812759173226,6.216631412506104,1.0,0.002601496031294341,0.3824242350258829,0.3041749995330504,-0.6208068678667544,0.7506913703964412,-177.8212598444065,135.41151460254076,0.9614328160953041,45.73049502383356,21.63821422191445,16.20533691244693,3.214764376389301,7.98698640081091,7.852326551316872,14.917540837284227,2.7347178884283485,5.3719098296161185,-0.5857216735184783,3.6322320300305937,3.0630246735099034,-0.5961449112334422,-7.358084739860308,-3.7528709485744542,-3.2876804219654288,-2.8588804103478234,blues
BFb_DS2Be-I,151.9990808823529,5870.643231911589,292.8565145390968,1738.4715195559882,1098.5260219219667,-0.002453145789274469,0.8882820566130438,9603.80859375,172.265625,3849.4767227409056,2651.9353171496105,-1.1948495737195652,0.3001757797280741,0.36328125,0.0048828125,0.060004928163699685,0.051661723502370964,3.3237147620885135,1.6262944709622231,0.3772504329681397,0.028612596914172176,0.1861852705478668,0.059880081564188,0.4343473057530427,0.5034109950065613,22.16019078000926,0.0,1.61426694511326,2.5748486247743507,15.621239041450984,3.5561535466641407,52.907576331364496,5.475742830573857,20.747914161311236,6.4320981910095725,-0.1759613350197009,0.6807352336861235,4113.034381719039,904.6738536887308,2288.206507282425,737.8226909478702,-1.0420715286565574,0.2548633536873903,0.22461746633052826,2.1597483282675967e-05,0.011209781281650066,0.02132109552621841,18.908909798898105,3.625322580337525,1.0,0.003570667197606782,0.4060963714183948,0.29634239718927385,-0.6643716609210141,0.6785874029193634,-149.42557370619414,91.2600948909181,40.328673821340615,54.060476828220615,17.61456058899417,15.804380878448427,2.6882347333392973,13.536435105715382,2.018648882844029,8.477238829365735,5.318584741130881,1.514827985252759,-4.153285683652069,2.5879214400419777,-0.3368899878150485,2.139183042569885,-2.510020541854125,4.963685568295039,-7.471931394982239,-1.8413184781096703,blues
jTO_7vDz4zw,143.5546875,4196.90485637036,293.66690329288065,1743.5782465627792,655.8235978979651,0.7108257068487513,0.6185987068843419,8204.150390625,344.53125,3518.6620564652667,1619.3677936694046,0.23138165981766345,0.5673400853368191,0.28515625,0.0068359375,0.08373947852167182,0.060716404447543615,-0.5271636730421974,0.6824744981150248,0.33085566759109497,0.0007497555925510824,0.10741677135229112,0.05324311181902885,1.1890115467432798,0.8395499587059021,21.095812855048045,0.0,1.351701307142899,2.0450099608949484,21.136183905547323,4.0461095869022285,45.278121997712574,5.9263626086431245,23.097195413194648,7.2025638842079776,-0.5267946464001372,0.494602309804428,3612.0441128507696,743.2580586413713,2117.273007021809,560.0146380804944,-0.5615015273854311,0.06295098299211489,0.19877667725086207,1.0190418834099546e-05,0.00704584689810872,0.019025279209017757,34.40488003241799,5.396486282348633,1.0,9.285073149493336e-05,0.31640532022055434,0.3271476648165157,-0.4403700125926244,0.96148548245639,-222.4973340825855,83.23230468934314,5.146408218850074,41.124777126968866,18.029020367795933,12.38159966628333,0.1966355818934748,5.116036069748385,-0.6141130868876431,6.428484855486892,0.5814566792629147,4.892957427019418,-4.474883973261158,-4.594727562533981,-3.241702567326623,5.9408287657055405,-1.7983137197803858,-8.86224808459502,-9.922677506603927,3.6589840266132905,blues
OspZhHV0Tcc,103.359375,4983.513146652402,377.132035269584,1165.8391434043253,751.680381107421,6.255828240068687,2.3273230857020684,8871.6796875,430.6640625,2340.835845285894,1784.260897514305,2.3007326535823074,1.6283335047554073,0.28125,0.0048828125,0.035314979198916414,0.03260453861272529,16.53092921180894,3.573831389986561,0.4688808917999268,0.08119820803403854,0.18981413543224332,0.06114669889211655,1.1277222059512342,0.9352707862854004,9.581122069596152,0.0,1.142205045109291,1.035546659675514,8.130009623309414,2.413059050256777,47.73420411760935,5.859703679304425,22.37793122521375,6.161231081650512,0.4922087405539499,0.9342321235732072,3610.93303153331,815.5791134411465,1766.3205239084766,603.8163368310135,-0.15266393739228426,0.7130997842958556,0.10471800714731216,2.344542008358985e-05,0.0038430166896432643,0.011037299409508705,28.774810218358912,5.107445240020752,1.0,0.005526327763868201,0.37416412917195596,0.30639469953672605,-0.5927083828059914,0.7983967135468125,-155.9639543240815,134.76911865392694,20.114348155052944,39.33882921642083,9.414431305831194,14.32795948613879,3.2985618621020825,3.165047512460279,0.017104905401309458,1.2568244362974683,-3.4684821923010447,0.8782383763297027,-4.935323611273473,-0.139778006060002,-4.443456164568971,0.8233963404161411,0.17881143292014048,2.1961553837751167,-1.7451208569477807,-0.8248353586721091,blues
gnHY6o0ICQs,112.34714673913044,5822.270864217434,427.87379685697306,1294.2985220078099,655.4908193094768,14.082951816131844,2.83866254454358,9496.142578125,495.263671875,2550.4512444369198,1459.8532686939075,4.972260732243584,1.914510270435876,0.33203125,0.0087890625,0.06075019954527864,0.041279996451239365,9.35661582495411,2.3888708200156032,0.5081651210784912,0.035730648785829544,0.2074306458234787,0.08975069969892502,0.06651583585790588,0.6855736970901489,18.678853458204483,0.0,1.2600103985404862,1.7917404664837426,20.948555635941133,3.909248635512343,43.47932962430314,6.313587371248397,22.432595504212514,6.3776634969881885,-0.18900236648543345,0.4754908137148216,3752.0195545182137,764.242857198069,1676.5289213228193,497.98963660993513,2.3316984036895896,1.1917391409209257,0.12255185842514038,1.979483749892097e-05,0.0039059175178408627,0.0110673438757658,48.723318256550996,6.448190212249756,1.0,0.0010267379972071784,0.3358693576959968,0.299742855578019,-0.10417177956378376,1.0041239741447543,-126.84923461709556,139.4372130518865,-5.8488522750752585,30.220117661764807,10.590098187715453,9.710202808176287,-1.4712697475234449,5.365492709433557,-0.3847630280476544,2.0496149408893323,-0.4588706185097838,5.096337634687608,2.259589285436753,2.8636185639638287,-2.071988267929215,7.043651038209736,1.4004592388616433,4.676442374286843,-1.082393777684099,-3.5318723620183587,blues
